[2465041] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a78818a0cedfdb0] [LocalNewNodeAddr : 0x6a7b018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465042] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7b018a0cedfc30] [LocalNewNodeAddr : 0x6a7b818a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465043] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7b018a0cedfc30] [LocalNewNodeAddr : 0x6a7b818a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465044] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7b818a0cedf8d0] [LocalNewNodeAddr : 0x6a7c018a0cedfb40] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465045] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7b818a0cedf8d0] [LocalNewNodeAddr : 0x6a7c818a0cedfb40] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465046] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7b818a0cedf8d0] [LocalNewNodeAddr : 0x6a7c018a0cedfb40] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465047] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7c018a0cedfb40] [LocalNewNodeAddr : 0x6a7c818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465048] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7c018a0cedfb40] [LocalNewNodeAddr : 0x6a7c818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465049] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7a818a0cedfbd0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465050] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7a818a0cedfbd0] [LocalNewNodeAddr : 0x6a7d018a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465051] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7a818a0cedfbd0] [LocalNewNodeAddr : 0x6a7d018a0cedfb40] [RealNodeAddr : 0x6a7d818a0cedfb40]
[2465052] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7d818a0cedfb40] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfb40]
